site,date,q,row,depth,vel,silt,sand,gravel,cobble,bed
sh1,6/23/2011,1,l,31,19.9,0,25,15,60,0
sh1,6/23/2011,2,c,77,24.6,0,10,50,40,0
sh1,6/23/2011,3,r,53,12.1,0,10,80,10,0
sh1,6/23/2011,4,r,57,8.7,0,5,80,15,0
sh1,6/23/2011,5,c,81,27.1,0,5,70,25,0
sh1,6/23/2011,6,l,53,12.8,0,25,50,25,0
sh1,6/23/2011,7,l,60,15.8,0,80,5,15,0
sh1,6/23/2011,8,c,87,27.7,0,5,80,15,0
sh1,6/23/2011,9,r,54,6.6,0,0,80,20,0
sh1,6/23/2011,10,r,52,19.9,0,0,80,20,0
sh1,6/23/2011,11,c,80,22.2,0,5,65,30,0
sh1,6/23/2011,12,l,81,19,0,5,25,70,0
sh2,6/23/2011,1,r,11,81.3,0,0,100,0,0
sh2,6/23/2011,2,c,53,51.6,0,5,65,30,0
sh2,6/23/2011,3,l,27,37.3,0,5,25,70,0
sh2,6/23/2011,4,l,45,24.9,0,10,15,75,0
sh2,6/23/2011,5,c,59,43.1,0,15,60,25,0
sh2,6/23/2011,6,r,10,10.9,0,0,75,25,0
sh2,6/23/2011,7,r,17,14.2,0,5,75,20,0
sh2,6/23/2011,8,c,61,38.6,0,5,55,40,0
sh2,6/23/2011,9,l,52,25.8,0,35,45,20,0
sh2,6/23/2011,10,l,52,22.7,0,20,55,25,0
sh2,6/23/2011,11,c,65,48.2,0,20,65,15,0
sh2,6/23/2011,12,r,17,5.1,0,5,75,20,0
sh3,7/2/2011,1,r,33,35.2,0,5,60,35,0
sh3,7/2/2011,2,c,48,31.2,0,5,45,50,0
sh3,7/2/2011,3,l,24,27.5,0,0,50,50,0
sh3,7/2/2011,4,l,34,28.7,0,0,65,35,0
sh3,7/2/2011,5,c,53,40.3,0,0,70,30,0
sh3,7/2/2011,6,r,47,30.5,0,0,50,50,0
sh3,7/2/2011,7,r,56,29.8,0,0,50,50,0
sh3,7/2/2011,8,c,52,34.2,0,0,60,40,0
sh3,7/2/2011,9,l,42,25.3,0,5,75,20,0
sh3,7/2/2011,10,l,46,22.5,0,5,75,20,0
sh3,7/2/2011,11,c,57,31,0,0,55,45,0
sh3,7/2/2011,12,r,46,15.1,0,0,50,50,0
sh4,7/15/2011,1,l,92,33.7,0,0,5,5,90
sh4,7/15/2011,2,c,20,24.7,0,0,20,80,0
sh4,7/15/2011,3,r,46,59.6,0,10,25,65,0
sh4,7/15/2011,4,r,35,33.2,0,45,25,30,0
sh4,7/15/2011,5,c,41,32.6,0,0,50,50,0
sh4,7/15/2011,6,l,69,28.9,0,0,0,0,100
sh4,7/15/2011,7,l,47,29.1,0,0,0,0,100
sh4,7/15/2011,8,c,70,9.7,0,0,20,80,0
sh4,7/15/2011,9,r,39,27.7,0,60,10,30,0
sh4,7/15/2011,10,r,29,18.4,0,60,10,30,0
sh4,7/15/2011,11,c,80,44.1,0,0,20,80,0
sh4,7/15/2011,12,l,14,30,0,0,0,0,100
sh5,7/15/2011,1,r,43,35.7,0,0,0,0,100
sh5,7/15/2011,2,c,100,44.5,0,0,0,0,100
sh5,7/15/2011,3,l,49,13.9,0,100,0,0,0
sh5,7/15/2011,4,l,63,10.7,0,0,0,0,100
sh5,7/15/2011,5,c,91,71,0,0,5,95,0
sh5,7/15/2011,6,r,43,46.6,0,0,0,0,100
sh5,7/15/2011,7,r,44,47.1,0,0,0,0,100
sh5,7/15/2011,8,c,73,89.9,0,0,40,60,0
sh5,7/15/2011,9,l,70,48.4,0,10,10,80,0
sh5,7/15/2011,10,l,45,44.1,0,10,10,80,0
sh5,7/15/2011,11,c,68,92.2,0,0,15,85,0
sh5,7/15/2011,12,r,45,63,0,0,0,0,100
sh6,7/15/2011,1,l,35,53.1,0,0,30,70,0
sh6,7/15/2011,2,c,40,121.1,0,0,20,80,0
sh6,7/15/2011,3,r,38,105.9,0,0,10,90,0
sh6,7/15/2011,4,r,40,53,0,0,10,90,0
sh6,7/15/2011,5,c,45,101.2,0,0,5,95,0
sh6,7/15/2011,6,l,18,72.1,0,0,20,80,0
sh6,7/15/2011,7,l,31,87.7,0,0,40,60,0
sh6,7/15/2011,8,c,60,104,0,0,20,80,0
sh6,7/15/2011,9,r,19,36.7,0,5,5,90,0
sh6,7/15/2011,10,r,14,4.4,0,60,5,35,0
sh6,7/15/2011,11,c,55,92.4,0,0,20,80,0
sh6,7/15/2011,12,l,62,123.6,0,0,5,95,0
sh7,7/14/2011,1,l,100,72.2,0,5,10,85,0
sh7,7/14/2011,2,c,77,22.7,0,50,10,40,0
sh7,7/14/2011,3,r,55,0,0,0,50,50,0
sh7,7/14/2011,4,r,41,1.6,0,0,60,40,0
sh7,7/14/2011,5,c,64,46.1,0,35,25,40,0
sh7,7/14/2011,6,l,71,56.1,0,5,35,60,0
sh7,7/14/2011,7,l,45,22.8,0,5,35,60,0
sh7,7/14/2011,8,c,48,73.4,0,0,35,65,0
sh7,7/14/2011,9,r,28,0.3,0,0,80,20,0
sh7,7/14/2011,10,r,30,94,0,0,40,60,0
sh7,7/14/2011,11,c,40,82.4,0,0,70,30,0
sh7,7/14/2011,12,l,26,31.7,0,30,50,20,0
sh8,7/15/2011,1,r,95,20.2,0,0,20,80,0
sh8,7/15/2011,2,c,73,38.1,0,20,70,10,0
sh8,7/15/2011,3,l,105,18.1,0,0,0,20,80
sh8,7/15/2011,4,l,79,19.8,0,80,20,0,0
sh8,7/15/2011,5,c,50,43.5,0,10,70,20,0
sh8,7/15/2011,6,r,70,46.2,0,0,0,0,100
sh8,7/15/2011,7,r,69,51.8,0,0,50,50,0
sh8,7/15/2011,8,c,60,55.6,0,10,70,20,0
sh8,7/15/2011,9,l,55,24,0,60,40,0,0
sh8,7/15/2011,10,l,50,29.6,0,30,15,55,0
sh8,7/15/2011,11,c,58,52.2,0,10,85,5,0
sh8,7/15/2011,12,r,58,51.4,0,0,0,0,100
sh10,7/15/2011,1,r,30,71.9,0,0,85,15,0
sh10,7/15/2011,2,c,40,76.4,0,0,20,80,0
sh10,7/15/2011,3,l,36,42.2,0,0,20,80,0
sh10,7/15/2011,4,l,32,22.9,0,30,20,50,0
sh10,7/15/2011,5,c,45,76.7,0,0,0,100,0
sh10,7/15/2011,6,r,20,49.7,0,0,30,70,0
sh10,7/15/2011,7,r,31,29.9,0,0,15,85,0
sh10,7/15/2011,8,c,42,72.4,0,0,30,70,0
sh10,7/15/2011,9,l,16,22.9,0,95,5,0,0
sh10,7/15/2011,10,l,25,17.9,0,5,75,20,0
sh10,7/15/2011,11,c,39,73.1,0,0,30,70,0
sh10,7/15/2011,12,r,27,42.2,0,0,10,90,0
sh11,7/15/2011,1,l,15,39.3,0,0,20,80,0
sh11,7/15/2011,2,c,47,107.6,0,0,20,80,0
sh11,7/15/2011,3,r,40,101.5,0,0,20,80,0
sh11,7/15/2011,4,r,54,80.2,0,0,0,0,100
sh11,7/15/2011,5,c,46,74.1,0,0,80,20,0
sh11,7/15/2011,6,l,20,44.5,0,5,70,25,0
sh11,7/15/2011,7,l,55,43.7,0,5,55,40,0
sh11,7/15/2011,8,c,56,72.2,0,0,20,80,0
sh11,7/15/2011,9,r,58,34.3,0,5,5,20,70
sh11,7/15/2011,10,r,43,30.7,0,0,0,0,100
sh11,7/15/2011,11,c,59,73.6,0,0,40,60,0
sh11,7/15/2011,12,l,57,50.4,0,10,70,20,0
sh12,7/2/2011,1,l,23,22.3,0,15,5,80,0
sh12,7/2/2011,2,c,41,66.6,0,0,60,40,0
sh12,7/2/2011,3,r,24,40.5,0,5,45,50,0
sh12,7/2/2011,4,r,23,12.4,0,95,5,0,0
sh12,7/2/2011,5,c,51,67.7,0,0,60,40,0
sh12,7/2/2011,6,l,18,27.6,0,0,10,90,0
sh12,7/2/2011,7,l,32,23.8,0,0,30,40,30
sh12,7/2/2011,8,c,60,30.4,0,0,15,85,0
sh12,7/2/2011,9,r,39,26.3,0,5,70,25,0
sh12,7/2/2011,10,r,40,27,0,5,90,5,0
sh12,7/2/2011,11,c,61,54.6,0,0,20,80,0
sh12,7/2/2011,12,l,27,4.5,0,5,35,60,0
sh14,7/2/2011,1,l,20,15.9,0,5,20,75,0
sh14,7/2/2011,2,c,53,19,0,25,10,65,0
sh14,7/2/2011,3,r,29,16.6,0,5,15,80,0
sh14,7/2/2011,4,r,23,8.6,0,5,10,85,0
sh14,7/2/2011,5,c,60,25.3,0,5,55,40,0
sh14,7/2/2011,6,l,30,1.7,0,10,10,80,0
sh14,7/2/2011,7,l,33,13.1,0,10,10,80,0
sh14,7/2/2011,8,c,59,33.3,0,15,20,65,0
sh14,7/2/2011,9,r,28,10.3,0,5,60,35,0
sh14,7/2/2011,10,r,26,10.1,0,5,30,65,0
sh14,7/2/2011,11,c,60,23.7,0,15,20,65,0
sh14,7/2/2011,12,l,35,10.1,0,5,15,80,0
sh15,6/23/2011,1,r,79,4.9,0,90,5,5,0
sh15,6/23/2011,2,c,42,23.7,0,10,80,10,0
sh15,6/23/2011,3,l,53,11.7,0,50,45,5,0
sh15,6/23/2011,4,l,77,20.4,0,10,80,10,0
sh15,6/23/2011,5,c,50,22.2,0,5,80,15,0
sh15,6/23/2011,6,r,80,12.6,0,100,0,0,0
sh15,6/23/2011,7,r,82,10.5,0,100,0,0,0
sh15,6/23/2011,8,c,40,22,0,10,85,5,0
sh15,6/23/2011,9,l,78,13.4,0,20,75,5,0
sh15,6/23/2011,10,l,59,24.2,0,10,75,15,0
sh15,6/23/2011,11,c,51,32.8,0,0,90,10,0
sh15,6/23/2011,12,r,85,7.8,0,95,5,0,0
sh17,7/2/2011,1,l,51,17,0,5,75,20,0
sh17,7/2/2011,2,c,52,30.5,0,15,65,20,0
sh17,7/2/2011,3,r,13,11.9,50,50,0,0,0
sh17,7/2/2011,4,r,10,7.2,50,50,0,0,0
sh17,7/2/2011,5,c,51,28.3,0,10,75,15,0
sh17,7/2/2011,6,l,59,16.3,0,5,85,10,0
sh17,7/2/2011,7,l,63,7.2,0,10,65,25,0
sh17,7/2/2011,8,c,57,31.6,0,10,65,25,0
sh17,7/2/2011,9,r,20,0,50,50,0,0,0
